@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,110,0,1590,0,1,1,0.064706,1,0.935294,0.121547,1,1,0.000235
1,110,0,1589,1,0.999371,1,0.064744,1,0.935256,0.121614,0.999412,1.000589,0.000541
2,110,0,1588,2,0.998742,1,0.064782,1,0.935218,0.121681,0.998824,1.001178,0.000778
3,110,0,1587,3,0.998113,1,0.06482,1,0.93518,0.121749,0.998235,1.001768,0.000814
4,110,0,1586,4,0.997484,1,0.064858,1,0.935142,0.121816,0.997647,1.002358,0.000816
5,110,0,1585,5,0.996855,1,0.064897,1,0.935103,0.121884,0.997059,1.00295,0.000874
6,110,0,1584,6,0.996226,1,0.064935,1,0.935065,0.121951,0.996471,1.003542,0.000997
7,110,0,1583,7,0.995597,1,0.064973,1,0.935027,0.122019,0.995882,1.004135,0.001092
8,110,0,1582,8,0.994969,1,0.065012,1,0.934988,0.122087,0.995294,1.004728,0.001333
9,110,0,1581,9,0.99434,1,0.06505,1,0.93495,0.122154,0.994706,1.005322,0.001411
10,110,0,1580,10,0.993711,1,0.065089,1,0.934911,0.122222,0.994118,1.005917,0.001553
11,110,0,1579,11,0.993082,1,0.065127,1,0.934873,0.12229,0.993529,1.006513,0.001882
12,110,0,1578,12,0.992453,1,0.065166,1,0.934834,0.122358,0.992941,1.007109,0.001917
13,110,0,1577,13,0.991824,1,0.065205,1,0.934795,0.122426,0.992353,1.007706,0.001935
14,110,0,1576,14,0.991195,1,0.065243,1,0.934757,0.122494,0.991765,1.008304,0.001976
15,110,0,1575,15,0.990566,1,0.065282,1,0.934718,0.122563,0.991176,1.008902,0.002051
